ID Cliente;ID Cidade;Primeiro Nome;Sobrenome;Estado Civil;Gênero;Email;Educação;Ocupação;Tipo Cliente;Nome Empresa;Data Nascimento
9896;529;Ruben;Jimenez;S;M;ruben29@adventure-works.com;Bachelors;Clerical;Person;;11/12/1966
9897;635;Arthur;Sai;M;M;arthur8@adventure-works.com;Bachelors;Skilled Manual;Person;;14/05/1966
9898;503;Mayra;Sai;M;F;mayra5@adventure-works.com;Bachelors;Skilled Manual;Person;;24/02/1966
9899;586;Grant;Ferrier;M;M;grant24@adventure-works.com;Bachelors;Skilled Manual;Person;;27/07/1966
9900;540;Angela;Cook;S;F;angela47@adventure-works.com;Partial High School;Manual;Person;;06/11/1965
9901;497;Natalie;Russell;S;F;natalie42@adventure-works.com;Partial High School;Manual;Person;;03/04/1965
9902;557;Chad;Xu;S;M;chad6@adventure-works.com;High School;Manual;Person;;02/10/1965
9903;567;Shane;Subram;M;M;shane16@adventure-works.com;Bachelors;Skilled Manual;Person;;06/12/1965
9904;623;Robyn;Diaz;M;F;robyn2@adventure-works.com;Bachelors;Skilled Manual;Person;;26/10/1965
9905;587;Ebony;Gomez;M;F;ebony23@adventure-works.com;Bachelors;Skilled Manual;Person;;18/09/1965
9906;548;Jessie;Munoz;S;F;jessie5@adventure-works.com;Partial High School;Manual;Person;;05/06/1964
9907;541;Briana;Ruiz;S;F;briana2@adventure-works.com;Partial High School;Manual;Person;;09/05/1964
9908;659;Terrence;Shan;S;M;terrence10@adventure-works.com;Partial High School;Manual;Person;;21/11/1964
9909;517;Wyatt;Foster;S;M;wyatt66@adventure-works.com;Partial High School;Manual;Person;;23/04/1964
9910;506;Kelly;Weadock;S;F;kelly3@adventure-works.com;Partial High School;Manual;Person;;22/04/1963
9911;529;Carolyn;Malhotra;M;F;carolyn5@adventure-works.com;Bachelors;Professional;Person;;21/02/1966
9912;529;Katrina;Raje;M;F;katrina12@adventure-works.com;Bachelors;Professional;Person;;02/08/1966
9913;640;Christy;Hu;M;F;christy18@adventure-works.com;Bachelors;Professional;Person;;02/11/1966
9914;496;Wesley;Liu;S;M;wesley4@adventure-works.com;Partial College;Clerical;Person;;01/05/1963
9915;586;Gilbert;Zeng;M;M;gilbert20@adventure-works.com;Partial College;Clerical;Person;;25/04/1962
9916;616;Latasha;Carlson;S;F;latasha18@adventure-works.com;Partial College;Clerical;Person;;18/04/1965
9917;491;Kathleen;Carlson;S;F;kathleen19@adventure-works.com;Partial College;Clerical;Person;;12/05/1965
9918;506;Tonya;Tang;M;F;tonya4@adventure-works.com;Bachelors;Skilled Manual;Person;;23/02/1965
9919;592;Neil;Ramos;M;M;neil16@adventure-works.com;Partial College;Clerical;Person;;03/11/1964
9920;650;Gretchen;Rivas;S;F;gretchen0@adventure-works.com;Partial College;Clerical;Person;;23/03/1964
9921;650;Jaclyn;Rai;S;F;jaclyn41@adventure-works.com;Partial College;Clerical;Person;;24/06/1964
9922;486;Melinda;Carlson;M;F;melinda13@adventure-works.com;Bachelors;Skilled Manual;Person;;25/12/1964
9923;506;Clayton;Wagner;M;M;clayton1@adventure-works.com;Bachelors;Skilled Manual;Person;;20/07/1964
9924;662;Isabella;Powell;M;F;isabella19@adventure-works.com;Bachelors;Skilled Manual;Person;;09/11/1963
9925;569;Alberto;Sanz;S;M;alberto19@adventure-works.com;High School;Manual;Person;;06/12/1977
9926;540;Kristin;Xu;S;F;kristin7@adventure-works.com;High School;Manual;Person;;05/04/1979
9927;564;Jeffery;Guo;S;M;jeffery17@adventure-works.com;High School;Manual;Person;;18/07/1979
9928;623;Tammy;Martinez;S;F;tammy18@adventure-works.com;High School;Manual;Person;;16/06/1979
9929;513;Raymond;Kapoor;S;M;raymond3@adventure-works.com;Partial College;Clerical;Person;;17/10/1979
9930;576;Darryl;Zeng;S;M;darryl21@adventure-works.com;Partial College;Clerical;Person;;12/06/1979
9931;569;Drew;Chande;M;M;drew16@adventure-works.com;Bachelors;Skilled Manual;Person;;14/06/1963
9932;608;Brian;Sanchez;M;M;brian29@adventure-works.com;Bachelors;Skilled Manual;Person;;15/10/1963
9933;624;Cole;Kelly;S;M;cole3@adventure-works.com;Partial College;Clerical;Person;;26/05/1962
9934;525;Laura;Li;S;F;laura10@adventure-works.com;Partial College;Clerical;Person;;26/08/1978
9935;650;Haley;Young;S;F;haley59@adventure-works.com;Partial College;Clerical;Person;;04/08/1977
9936;529;Desiree;Jimenez;S;F;desiree1@adventure-works.com;Partial College;Clerical;Person;;14/10/1977
9937;544;Christy;Cai;S;F;christy19@adventure-works.com;Partial College;Clerical;Person;;22/06/1977
9938;639;Natalie;Williams;S;F;natalie70@adventure-works.com;Partial College;Clerical;Person;;05/07/1977
9939;659;Carolyn;Rowe;S;F;carolyn42@adventure-works.com;Partial College;Clerical;Person;;23/08/1977
9940;626;Joshua;Johnson;S;M;joshua3@adventure-works.com;High School;Manual;Person;;04/09/1976
9941;615;Jillian;Rodriguez;S;F;jillian20@adventure-works.com;High School;Manual;Person;;28/08/1976
9942;543;Arturo;Guo;M;M;arturo19@adventure-works.com;Partial High School;Manual;Person;;09/07/1975
9943;528;Tasha;Sharma;S;F;tasha10@adventure-works.com;High School;Manual;Person;;26/03/1975
9944;666;Brett;Rana;S;M;brett10@adventure-works.com;High School;Manual;Person;;01/04/1975
9945;459;Rebecca;Hernandez;S;F;rebecca19@adventure-works.com;High School;Manual;Person;;25/05/1976
9946;765;Roger;Tang;S;M;roger31@adventure-works.com;Partial College;Clerical;Person;;26/05/1976
9947;674;Abby;Chandra;S;F;abby1@adventure-works.com;Partial College;Clerical;Person;;27/03/1976
9948;506;Marie;Alvarez;S;F;marie28@adventure-works.com;Partial College;Clerical;Person;;08/06/1976
9949;564;Xavier;White;S;M;xavier10@adventure-works.com;Partial College;Clerical;Person;;09/07/1975
9950;608;Sandra;Liang;S;F;sandra24@adventure-works.com;Partial High School;Manual;Person;;10/09/1974
